State,Type,County,Violent crime,Property crime
GEORGIA,Non-Metro,Wilkes,4.00,17.00
GEORGIA,Non-Metro,Wilkinson,14.00,102.00
HAWAII,Non-Metro,Hawaii,514.00,5255.00
HAWAII,Non-Metro,Kauai,246.00,2476.00
IDAHO,Metro,Ada,119.00,968.00
IDAHO,Metro,Bonneville,88.00,801.00
IDAHO,Metro,Canyon,61.00,598.00
IDAHO,Metro,Franklin,9.00,29.00
IDAHO,Metro,Gem,13.00,40.00
IDAHO,Metro,Jefferson,13.00,84.00
IDAHO,Metro,Kootenai,97.00,1122.00
IDAHO,Metro,Nez Perce,10.00,119.00
IDAHO,Metro,Owyhee,13.00,132.00
IDAHO,Metro,Power,2.00,45.00
IDAHO,Non-Metro,Adams,8.00,52.00
IDAHO,Non-Metro,Bear Lake,1.00,39.00
IDAHO,Non-Metro,Benewah,4.00,32.00
IDAHO,Non-Metro,Bingham,32.00,271.00
IDAHO,Non-Metro,Blaine,4.00,23.00
IDAHO,Non-Metro,Bonner,37.00,434.00
IDAHO,Non-Metro,Boundary,7.00,85.00
IDAHO,Non-Metro,Butte,7.00,2.00
IDAHO,Non-Metro,Camas,0.00,10.00
IDAHO,Non-Metro,Caribou,2.00,13.00
IDAHO,Non-Metro,Clearwater,16.00,97.00
IDAHO,Non-Metro,Elmore,18.00,48.00
IDAHO,Non-Metro,Fremont,4.00,66.00
IDAHO,Non-Metro,Gooding,11.00,46.00
IDAHO,Non-Metro,Idaho,8.00,91.00
IDAHO,Non-Metro,Jerome,3.00,70.00
IDAHO,Non-Metro,Latah,23.00,157.00
IDAHO,Non-Metro,Lemhi,5.00,37.00
IDAHO,Non-Metro,Lewis,5.00,36.00
IDAHO,Non-Metro,Lincoln,5.00,13.00
IDAHO,Non-Metro,Madison,9.00,74.00
IDAHO,Non-Metro,Minidoka,3.00,145.00
IDAHO,Non-Metro,Oneida,4.00,25.00
IDAHO,Non-Metro,Payette,23.00,102.00
IDAHO,Non-Metro,Shoshone,34.00,160.00
IDAHO,Non-Metro,Teton,1.00,78.00
IDAHO,Non-Metro,Twin Falls,35.00,205.00
IDAHO,Non-Metro,Valley,16.00,73.00
IDAHO,Non-Metro,Washington,2.00,16.00
ILLINOIS,Metro,Bond,6.00,142.00
ILLINOIS,Metro,Boone,21.00,295.00
ILLINOIS,Metro,Champaign,148.00,531.00
ILLINOIS,Metro,Clinton,9.00,162.00
ILLINOIS,Metro,De Kalb,33.00,268.00
ILLINOIS,Metro,Du Page,79.00,1334.00
ILLINOIS,Metro,Grundy,2.00,210.00
ILLINOIS,Metro,Henry,0.00,79.00
ILLINOIS,Metro,Jersey,28.00,137.00
ILLINOIS,Metro,Kendall,63.00,399.00
ILLINOIS,Metro,Lake,83.00,1714.00
ILLINOIS,Metro,Macon,66.00,432.00
ILLINOIS,Metro,Macoupin,10.00,245.00
ILLINOIS,Metro,Madison,90.00,1108.00
ILLINOIS,Metro,Marshall,0.00,45.00
