State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
COLORADO,Non-Metro,Montezuma,42,2,0,1,39,120,47,62,11,0
COLORADO,Non-Metro,Montrose,21,2,3,1,15,157,43,104,10,1
COLORADO,Non-Metro,Morgan,2,1,0,0,1,52,10,38,4,1
COLORADO,Non-Metro,Otero,6,0,1,0,5,40,10,29,1,0
COLORADO,Non-Metro,Pitkin,7,0,0,0,7,56,12,40,4,0
COLORADO,Non-Metro,Prowers,5,0,3,0,2,29,8,20,1,0
COLORADO,Non-Metro,Rio Blanco,0,0,0,0,0,7,2,5,0,0
COLORADO,Non-Metro,Routt,11,0,0,0,11,49,14,29,6,0
COLORADO,Non-Metro,Saguache,12,0,0,0,12,26,11,14,1,0
COLORADO,Non-Metro,San Miguel,3,0,0,0,3,19,2,15,2,0
COLORADO,Non-Metro,Summit,12,0,4,1,7,289,23,245,21,1
COLORADO,Non-Metro,Washington,5,0,2,0,3,79,15,59,5,1
DELAWARE,Metro,New Castle,"1,251",7,63,352,829,"6,625","2,052","4,044",529,7
FLORIDA,Metro,Alachua,596,8,37,76,475,"2,788",937,"1,719",132,20
FLORIDA,Metro,Baker,58,0,1,7,50,336,51,272,13,1
FLORIDA,Metro,Bay,358,5,32,39,282,"2,816",688,"1,968",160,3
FLORIDA,Metro,Brevard,926,4,72,125,725,"5,348","1,311","3,816",221,20
FLORIDA,Metro,Broward,292,1,13,92,186,956,234,665,57,7
FLORIDA,Metro,Charlotte,353,1,22,45,285,"3,822",977,"2,735",110,9
FLORIDA,Metro,Clay,710,9,52,99,550,"3,918",793,"2,991",134,39
FLORIDA,Metro,Collier,977,10,50,195,722,"4,947","1,090","3,675",182,17
FLORIDA,Metro,Escambia,"1,928",26,178,461,"1,263","10,455","2,665","7,271",519,30
FLORIDA,Metro,Flagler,173,0,15,29,129,"1,952",489,"1,399",64,2
FLORIDA,Metro,Gadsden,294,3,7,15,269,742,336,370,36,0
FLORIDA,Metro,Gilchrist,40,1,1,0,38,134,59,64,11,0
FLORIDA,Metro,Hernando,592,9,55,82,446,"4,479","1,247","3,077",155,15
FLORIDA,Metro,Hillsborough,"3,136",36,142,700,"2,258","22,442","5,863","15,099","1,480",24
FLORIDA,Metro,Indian River,313,0,17,55,241,"2,953",818,"2,030",105,7
FLORIDA,Metro,Jefferson,126,0,5,4,117,171,94,62,15,3
FLORIDA,Metro,Lake,595,7,35,24,529,"2,813",794,"1,837",182,8
FLORIDA,Metro,Lee,"1,347",17,84,387,859,"9,358","3,218","5,540",600,59
FLORIDA,Metro,Leon,273,2,23,38,210,"1,363",427,835,101,7
FLORIDA,Metro,Manatee,"1,533",11,80,353,"1,089","9,838","2,745","6,728",365,29
FLORIDA,Metro,Marion,"1,305",6,103,78,"1,118","4,860","1,554","3,084",222,6
FLORIDA,Metro,Martin,362,2,11,103,246,"2,787",679,"2,009",99,5
FLORIDA,Metro,Miami-Dade,"6,927",87,252,"1,782","4,806","45,341","8,554","32,357","4,430",28
FLORIDA,Metro,Nassau,163,0,4,9,150,"1,137",382,705,50,4
FLORIDA,Metro,Okaloosa,454,1,30,77,346,"3,365",756,"2,472",137,0
FLORIDA,Metro,Orange,"5,396",53,311,"1,401","3,631","27,117","8,313","16,587","2,217",0
FLORIDA,Metro,Osceola,885,6,15,101,763,"5,814","2,123","3,427",264,1
FLORIDA,Metro,Palm Beach,"2,232",24,135,623,"1,450","16,314","4,524","10,678","1,112",69
FLORIDA,Metro,Pasco,"1,292",8,76,321,887,"12,773","3,673","8,504",596,71
FLORIDA,Metro,Pinellas,"1,119",11,124,227,757,"7,609","1,847","5,416",346,26
FLORIDA,Metro,Polk,"1,308",12,82,202,"1,012","10,070","3,377","6,159",534,0
