County,State,Value
Gosper County,Nebraska,-4.60
Schuyler County,New York,-4.60
Allegheny County,Pennsylvania,-4.60
Collingsworth County,Texas,-4.60
Randolph County,Indiana,-4.50
Redwood County,Minnesota,-4.50
Howard County,Nebraska,-4.50
Venango County,Pennsylvania,-4.50
Lee County,South Carolina,-4.50
Pocahontas County,West Virginia,-4.50
Cherokee County,Kansas,-4.40
Tuscola County,Michigan,-4.40
Martin County,Minnesota,-4.40
Merrick County,Nebraska,-4.40
McKinley County,New Mexico,-4.40
Benson County,North Dakota,-4.40
Clark County,Ohio,-4.40
Laurens County,South Carolina,-4.40
Grundy County,Tennessee,-4.40
Posey County,Indiana,-4.30
Grant County,Minnesota,-4.30
Roseau County,Minnesota,-4.30
Nemaha County,Nebraska,-4.30
Cattaraugus County,New York,-4.30
Martin County,North Carolina,-4.30
Montgomery County,Ohio,-4.30
Clarion County,Pennsylvania,-4.30
Ketchikan Gateway Borough,Alaska,-4.20
Lincoln County,Georgia,-4.20
Wilkinson County,Mississippi,-4.20
Pondera County,Montana,-4.20
Butler County,Nebraska,-4.20
Traill County,North Dakota,-4.20
Mills County,Texas,-4.20
Newton County,Texas,-4.20
Ashland County,Wisconsin,-4.20
Columbia County,Arkansas,-4.10
Hempstead County,Arkansas,-4.10
Jasper County,Illinois,-4.10
Marshall County,Illinois,-4.10
Clay County,Iowa,-4.10
Cumberland County,Kentucky,-4.10
Estill County,Kentucky,-4.10
McLean County,Kentucky,-4.10
Caldwell Parish,Louisiana,-4.10
Evangeline Parish,Louisiana,-4.10
Freeborn County,Minnesota,-4.10
New Madrid County,Missouri,-4.10
Polk County,Nebraska,-4.10
Ottawa County,Oklahoma,-4.10
Poinsett County,Arkansas,-4.00
Irwin County,Georgia,-4.00
Miller County,Georgia,-4.00
Clark County,Illinois,-4.00
Fountain County,Indiana,-4.00
Union County,Kentucky,-4.00
Roscommon County,Michigan,-4.00
Valley County,Montana,-4.00
Wheatland County,Montana,-4.00
Bamberg County,South Carolina,-4.00
Bennett County,South Dakota,-4.00
Karnes County,Texas,-4.00
Tyler County,West Virginia,-4.00
Plumas County,California,-3.90
Clark County,Idaho,-3.90
Tipton County,Indiana,-3.90
Worth County,Iowa,-3.90
Comanche County,Kansas,-3.90
Cottonwood County,Minnesota,-3.90
Franklin County,Mississippi,-3.90
Williams County,Ohio,-3.90
Donley County,Texas,-3.90
Petersburg city,Virginia,-3.90
Rusk County,Wisconsin,-3.90
Costilla County,Colorado,-3.80
Menifee County,Kentucky,-3.80
Delta County,Michigan,-3.80
Brown County,Minnesota,-3.80
Columbiana County,Ohio,-3.80
Beaver County,Oklahoma,-3.80
Falls County,Texas,-3.80
Marinette County,Wisconsin,-3.80
St. Francis County,Arkansas,-3.70
Howard County,Iowa,-3.70
Doniphan County,Kansas,-3.70
