County,State,Value
Lamb County,Texas,-732.00
Baca County,Colorado,-729.00
Sheridan County,Nebraska,-729.00
Livingston County,Illinois,-728.00
Cass County,Iowa,-728.00
Palo Alto County,Iowa,-726.00
Emmet County,Iowa,-725.00
Kiowa County,Kansas,-725.00
Indiana County,Pennsylvania,-725.00
Sheridan County,Montana,-721.00
Bottineau County,North Dakota,-720.00
Forest County,Wisconsin,-720.00
Marshall County,Minnesota,-716.00
Mercer County,West Virginia,-716.00
Fountain County,Indiana,-714.00
Jewell County,Kansas,-714.00
Audubon County,Iowa,-711.00
West Carroll Parish,Louisiana,-710.00
Falls County,Texas,-710.00
Roseau County,Minnesota,-709.00
Barnes County,North Dakota,-709.00
Ashland County,Wisconsin,-709.00
White County,Illinois,-706.00
Clay County,Iowa,-705.00
Guernsey County,Ohio,-705.00
O'Brien County,Iowa,-704.00
Northampton County,Virginia,-704.00
Marion County,Kansas,-701.00
Jackson County,Alabama,-699.00
Houston County,Minnesota,-691.00
Chautauqua County,Kansas,-690.00
Washington County,Kansas,-684.00
Smith County,Kansas,-683.00
Gage County,Nebraska,-682.00
Paulding County,Ohio,-679.00
Rice County,Kansas,-678.00
Perry County,Kentucky,-678.00
Clark County,Illinois,-673.00
Knox County,Nebraska,-673.00
Cimarron County,Oklahoma,-673.00
Bamberg County,South Carolina,-671.00
Dewey County,South Dakota,-671.00
Kingsbury County,South Dakota,-667.00
Watonwan County,Minnesota,-665.00
Florence County,Wisconsin,-665.00
Coosa County,Alabama,-663.00
Auglaize County,Ohio,-662.00
Tioga County,New York,-659.00
Wilkinson County,Georgia,-657.00
Chickasaw County,Iowa,-656.00
Hancock County,Georgia,-647.00
Chippewa County,Minnesota,-647.00
Childress County,Texas,-647.00
Obion County,Tennessee,-643.00
Clinton County,Indiana,-642.00
Yellow Medicine County,Minnesota,-642.00
Tipton County,Indiana,-641.00
Taylor County,Iowa,-641.00
Seminole County,Georgia,-640.00
Delaware County,Iowa,-640.00
Crawford County,Illinois,-635.00
Estill County,Kentucky,-635.00
Lynn County,Texas,-635.00
Union County,Kentucky,-630.00
Towner County,North Dakota,-630.00
Grundy County,Tennessee,-629.00
Newton County,Texas,-627.00
White County,Indiana,-624.00
Powell County,Kentucky,-624.00
Webster Parish,Louisiana,-624.00
Baker County,Georgia,-623.00
Potter County,Pennsylvania,-623.00
Karnes County,Texas,-622.00
Lincoln County,Colorado,-620.00
Grant County,Oklahoma,-617.00
Ramsey County,North Dakota,-615.00
Chariton County,Missouri,-607.00
Baker County,Oregon,-607.00
Carroll County,Iowa,-605.00
Cochran County,Texas,-603.00
Crawford County,Wisconsin,-599.00
Floyd County,Iowa,-597.00
Osborne County,Kansas,-594.00
Ketchikan Gateway Borough,Alaska,-593.00
McHenry County,North Dakota,-592.00
Rusk County,Wisconsin,-592.00
Pierce County,Nebraska,-591.00
Oneida County,New York,-591.00
Norman County,Minnesota,-590.00
Nelson County,North Dakota,-589.00
Nolan County,Texas,-586.00
Hardeman County,Texas,-585.00
Jones County,Texas,-583.00
McIntosh County,North Dakota,-581.00
Hill County,Montana,-577.00
Culberson County,Texas,-577.00
Vermillion County,Indiana,-576.00
Traverse County,Minnesota,-576.00
Turner County,Georgia,-574.00
Christian County,Illinois,-572.00
Fremont County,Iowa,-569.00
Benton County,Indiana,-567.00
Humboldt County,Iowa,-566.00
Webster County,West Virginia,-565.00
Wilkin County,Minnesota,-562.00
LaMoure County,North Dakota,-562.00
Adair County,Iowa,-561.00
Valdez-Cordova Census Area,Alaska,-559.00
Mitchell County,Kansas,-559.00
Phelps County,Nebraska,-559.00
Nuckolls County,Nebraska,-557.00
Day County,South Dakota,-557.00
Colbert County,Alabama,-556.00
Kearny County,Kansas,-554.00
Jay County,Indiana,-553.00
Clark County,Arkansas,-551.00
Big Stone County,Minnesota,-551.00
Montmorency County,Michigan,-550.00
Caddo County,Oklahoma,-550.00
Clayton County,Iowa,-549.00
Montgomery County,Illinois,-548.00
Lewis County,West Virginia,-547.00
Coke County,Texas,-544.00
Hamilton County,New York,-543.00
Meriwether County,Georgia,-542.00
Osceola County,Iowa,-541.00
Marshall County,Illinois,-540.00
Nemaha County,Kansas,-539.00
Branch County,Michigan,-539.00
Monroe County,Ohio,-538.00
Sargent County,North Dakota,-537.00
Walworth County,South Dakota,-536.00
Henry County,Illinois,-534.00
Knox County,Texas,-534.00
Lincoln County,Minnesota,-533.00
Barton County,Kansas,-531.00
Red River Parish,Louisiana,-531.00
Shelby County,Illinois,-530.00
Torrance County,New Mexico,-528.00
Bureau County,Illinois,-525.00
Lucas County,Iowa,-524.00
