County,State,Value
Tuolumne County,California,70.90
Yolo County,California,94.40
Adams County,Colorado,94.30
Archuleta County,Colorado,60.10
Baca County,Colorado,75.00
Chaffee County,Colorado,75.90
Conejos County,Colorado,72.70
Delta County,Colorado,87.20
Dolores County,Colorado,61.20
Elbert County,Colorado,93.70
Fremont County,Colorado,86.20
Kiowa County,Colorado,76.90
Contra Costa County,California,93.80
Del Norte County,California,88.60
El Dorado County,California,79.70
Imperial County,California,87.60
Kern County,California,89.50
Kings County,California,94.00
Madera County,California,88.20
Sabine County,Texas,59.30
Middlesex County,Connecticut,89.80
New London County,Connecticut,88.50
Tolland County,Connecticut,94.00
Sussex County,Delaware,64.50
District of Columbia,District of Columbia,89.90
Baker County,Florida,90.60
Brevard County,Florida,85.10
Broward County,Florida,84.70
Citrus County,Florida,81.10
Collier County,Florida,67.50
Duval County,Florida,88.10
Gilchrist County,Florida,83.80
Glades County,Florida,65.00
Gulf County,Florida,58.60
Hardee County,Florida,84.80
Hendry County,Florida,82.60
Hernando County,Florida,84.90
Lake County,Colorado,69.10
La Plata County,Colorado,81.60
Larimer County,Colorado,90.60
Lincoln County,Colorado,80.50
Mesa County,Colorado,92.70
Moffat County,Colorado,88.20
Morgan County,Colorado,89.60
Ouray County,Colorado,65.60
Pitkin County,Colorado,62.90
Rio Blanco County,Colorado,80.00
Saguache County,Colorado,68.70
San Miguel County,Colorado,52.00
Teller County,Colorado,77.60
Washington County,Colorado,81.30
Polk County,Florida,80.90
St. Johns County,Florida,83.90
St. Lucie County,Florida,79.20
Santa Rosa County,Florida,87.90
Sarasota County,Florida,76.90
Sumter County,Florida,78.00
Union County,Florida,89.80
Volusia County,Florida,81.90
Washington County,Florida,82.10
Appling County,Georgia,81.90
Bacon County,Georgia,87.80
Banks County,Georgia,88.20
Berrien County,Georgia,85.50
Brantley County,Georgia,85.10
Bulloch County,Georgia,88.80
Burke County,Georgia,86.50
Calhoun County,Georgia,83.10
Carroll County,Georgia,87.80
Charlton County,Georgia,87.80
Cherokee County,Georgia,92.20
Clayton County,Georgia,86.60
Coffee County,Georgia,86.80
Coweta County,Georgia,91.00
Crawford County,Georgia,91.10
Dawson County,Georgia,80.90
Dodge County,Georgia,83.00
Dougherty County,Georgia,89.50
Echols County,Georgia,85.30
Effingham County,Georgia,91.00
Elbert County,Georgia,84.10
Evans County,Georgia,86.50
Fannin County,Georgia,62.90
Floyd County,Georgia,88.60
Wrangell City and Borough,Alaska,73.70
Yukon-Koyukuk Census Area,Alaska,54.90
Graham County,Arizona,85.70
Indian River County,Florida,78.80
Jackson County,Florida,82.90
Jefferson County,Florida,85.10
Levy County,Florida,81.50
Madison County,Florida,82.40
Nassau County,Florida,82.20
Okaloosa County,Florida,78.30
Orange County,Florida,86.50
Osceola County,Florida,70.70
Palm Beach County,Florida,81.90
Crittenden County,Arkansas,88.50
Faulkner County,Arkansas,91.40
Franklin County,Arkansas,87.70
Grant County,Arkansas,89.40
Hempstead County,Arkansas,84.80
Hot Spring County,Arkansas,88.40
Jackson County,Arkansas,88.50
Lafayette County,Arkansas,72.40
Little River County,Arkansas,83.80
Madison County,Arkansas,82.50
Marion County,Arkansas,79.20
Nevada County,Arkansas,81.00
Ouachita County,Arkansas,83.90
Perry County,Arkansas,85.00
Phillips County,Arkansas,83.90
Polk County,Arkansas,84.50
Pope County,Arkansas,91.40
Aleutians East Borough,Alaska,74.00
Saline County,Arkansas,92.50
Scott County,Arkansas,84.10
Sevier County,Arkansas,86.80
Stone County,Arkansas,79.30
Wilkes County,Georgia,82.60
Hawaii County,Hawaii,81.50
Ada County,Idaho,93.10
Adams County,Idaho,66.30
Bear Lake County,Idaho,58.30
Benewah County,Idaho,82.90
Bingham County,Idaho,92.90
Blaine County,Idaho,58.60
Bonneville County,Idaho,92.20
Butte County,Idaho,83.40
Cassia County,Idaho,91.60
Clearwater County,Idaho,82.20
Franklin County,Idaho,90.10
Greenlee County,Arizona,72.90
Mohave County,Arizona,74.40
Pinal County,Arizona,78.90
Yuma County,Arizona,73.70
Ashley County,Arkansas,86.50
Calhoun County,Arkansas,78.10
Carroll County,Arkansas,84.00
Clay County,Arkansas,85.20
Crawford County,Arkansas,89.80
Boone County,Illinois,92.70
Bureau County,Illinois,90.70
Calhoun County,Illinois,73.50
Clark County,Illinois,87.30
Crawford County,Illinois,89.60
DeKalb County,Illinois,93.70
Douglas County,Illinois,92.00
DuPage County,Illinois,94.70
